 29.62, 60.89, 111.35, 31.10, 1.09, 37.17, 13.57, 24.95, 85.28, 52.76, 15.57, 1.32, 16.21, 41.93, 22.05, 45.85, 6.13, 3.38, 27.38, 27.45, 28.17, 33.26, 33.26, 34.96, 51.10, 51.75, 53.31, 54.57, 54.50, 84.62, 85.62, 146.98, 148.10, 182.77, 190.87, 306.14, 319.60, 321.75, 323.50, 362.91, 408.65, 544.38, 549.41, 552.51, 561.76, 646.29, 695.46, 699.59, 786.24, 789.20, 803.31, 854.14, 850.52, 839.76, 864.89, 847.50, 818.74, 3.13, 2.87, 113.14, 668.52, 541.65, 427.76, 426.71
 27.40, 59.04, 108.82, 32.73, 1.10, 34.32, 16.69, 25.79, 87.72, 50.21, 16.08, 1.24, 18.35, 46.94, 24.35, 42.16, 6.54, 3.14, 27.47, 27.67, 28.49, 33.39, 33.39, 34.79, 51.07, 51.33, 52.34, 53.34, 53.57, 82.20, 85.45, 145.29, 146.92, 183.07, 190.69, 300.77, 311.54, 312.90, 314.39, 350.43, 401.44, 541.04, 543.97, 545.06, 553.78, 646.61, 696.31, 700.26, 788.44, 788.82, 807.14, 857.57, 857.68, 859.08, 902.48, 903.84, 898.97, 3.02, 2.86, 115.19, 670.90, 540.00, 423.99, 422.85
 26.76, 57.62, 108.82, 34.76, 1.22, 32.38, 17.87, 26.64, 94.48, 52.06, 16.48, 1.35, 20.26, 46.79, 26.09, 40.43, 8.37, 3.33, 27.75, 27.72, 28.30, 33.09, 33.09, 34.31, 51.05, 51.55, 53.06, 54.53, 54.48, 81.84, 82.61, 140.57, 141.58, 179.83, 187.30, 298.68, 308.95, 309.78, 311.20, 344.68, 393.26, 532.78, 538.65, 542.35, 554.64, 648.41, 703.87, 708.48, 801.61, 800.39, 818.31, 869.10, 867.08, 865.22, 902.87, 902.95, 903.92, 2.99, 3.57, 112.50, 675.52, 529.62, 415.61, 414.51
 26.13, 56.34, 108.08, 32.32, 1.19, 29.96, 16.47, 25.03, 95.45, 54.94, 16.64, 1.31, 20.81, 42.91, 23.71, 42.18, 7.59, 3.41, 29.10, 29.19, 29.92, 34.85, 34.85, 36.04, 52.66, 52.85, 53.85, 54.28, 54.29, 81.34, 83.79, 140.87, 142.03, 178.28, 186.80, 297.27, 307.43, 308.49, 309.89, 340.97, 386.50, 522.97, 528.42, 531.41, 542.74, 629.62, 691.11, 697.99, 800.30, 807.80, 829.50, 884.69, 884.54, 882.89, 921.11, 918.76, 914.04, 3.09, 3.65, 109.40, 655.99, 519.96, 408.51, 407.13
 24.69, 55.55, 106.27, 29.29, 1.08, 26.39, 14.81, 22.37, 90.57, 50.90, 17.50, 1.26, 20.84, 38.18, 20.70, 41.05, 6.24, 3.85, 31.79, 31.40, 31.57, 36.05, 36.05, 36.69, 54.17, 54.28, 55.24, 55.97, 55.93, 81.22, 82.63, 138.52, 139.54, 172.35, 181.39, 291.53, 302.65, 304.37, 305.90, 333.98, 375.47, 507.77, 513.83, 518.00, 528.84, 607.61, 665.25, 671.81, 769.68, 781.35, 807.28, 861.44, 867.08, 875.82, 924.20, 929.79, 931.54, 3.12, 3.28, 104.37, 631.59, 503.91, 397.10, 395.58
 25.34, 58.41, 106.57, 30.07, 1.08, 23.89, 14.12, 21.01, 85.39, 46.93, 22.19, 1.31, 21.27, 36.27, 19.31, 38.21, 6.35, 5.70, 44.69, 44.13, 43.92, 47.88, 47.88, 46.14, 66.30, 64.82, 63.71, 59.28, 58.56, 83.70, 83.69, 142.22, 141.85, 175.00, 180.47, 287.54, 295.39, 296.14, 297.52, 323.00, 362.40, 489.96, 496.17, 500.47, 511.92, 583.95, 636.52, 642.88, 735.62, 748.66, 775.45, 825.81, 831.60, 840.77, 888.52, 898.66, 910.91, 3.16, 3.51, 100.30, 606.07, 486.19, 383.14, 381.57
 27.50, 66.53, 110.35, 32.93, 1.01, 25.19, 13.39, 19.33, 82.74, 46.49, 29.59, 1.35, 21.45, 35.84, 17.38, 37.29, 5.95, 7.27, 52.88, 52.48, 52.62, 57.62, 57.62, 57.69, 86.29, 85.28, 84.52, 77.73, 75.65, 100.22, 94.13, 159.02, 155.76, 190.86, 192.06, 298.88, 303.50, 301.95, 302.40, 326.71, 361.09, 479.69, 483.49, 485.79, 495.58, 564.71, 612.25, 618.27, 707.79, 718.78, 744.61, 793.81, 798.43, 805.78, 851.97, 861.93, 873.73, 3.78, 3.42, 104.91, 584.18, 479.33, 374.38, 374.18
 42.23, 77.79, 115.81, 34.16, 0.97, 27.19, 12.63, 17.71, 80.18, 43.11, 39.91, 23.13, 21.20, 35.18, 15.47, 35.86, 5.71, 141.15, 198.23, 182.10, 163.42, 223.49, 223.49, 160.76, 162.68, 142.13, 124.79, 97.78, 95.47, 134.50, 122.98, 197.91, 193.08, 228.91, 226.89, 332.69, 331.53, 325.98, 325.03, 347.96, 377.79, 493.09, 494.42, 492.91, 498.37, 559.89, 595.18, 599.86, 683.88, 692.28, 717.27, 763.01, 767.91, 775.69, 820.27, 829.62, 839.59, 61.85, 3.41, 111.50, 575.09, 494.62, 385.55, 386.47
 443.64, 104.92, 120.41, 42.56, 0.99, 26.86, 13.59, 16.42, 79.21, 40.14, 189.65, 66.24, 21.22, 37.31, 14.09, 34.05, 5.76, 528.24, 967.16, 961.43, 951.68, 1247.04, 1247.04, 1203.49, 1349.23, 1301.88, 1225.48, 938.39, 867.04, 1184.83, 862.46, 865.39, 695.76, 682.01, 385.12, 384.86, 376.70, 370.13, 368.80, 389.92, 418.23, 518.16, 516.87, 513.07, 516.98, 574.21, 598.85, 601.94, 679.91, 681.10, 702.57, 743.50, 745.57, 749.77, 789.61, 797.54, 807.47, 241.54, 3.39, 114.09, 585.89, 523.77, 417.04, 420.17
 487.18, 396.44, 131.47, 58.83, 1.07, 34.95, 16.58, 17.05, 87.74, 39.76, 266.84, 34.97, 22.89, 54.54, 14.82, 32.69, 6.44, 220.66, 683.16, 693.80, 708.19, 894.21, 894.21, 940.80, 1240.08, 1264.54, 1297.85, 1401.20, 1423.14, 1945.81, 2024.46, 2439.84, 2447.97, 2511.13, 2488.70, 2351.57, 1981.15, 1745.28, 1661.84, 1467.33, 1170.15, 594.05, 584.27, 570.41, 566.21, 632.08, 634.50, 633.97, 709.38, 695.49, 713.83, 752.07, 749.82, 747.61, 778.38, 780.32, 784.08, 133.94, 3.64, 136.22, 638.72, 653.23, 663.87, 783.53
 288.23, 439.95, 188.92, 58.18, 1.17, 38.15, 16.73, 16.87, 109.59, 42.90, 217.22, 17.75, 23.24, 58.20, 14.52, 34.97, 6.82, 121.74, 444.84, 450.60, 458.53, 570.92, 570.92, 594.79, 828.26, 842.13, 861.04, 921.25, 935.81, 1251.80, 1327.75, 1792.62, 1836.76, 1914.30, 2016.44, 2307.56, 2408.59, 2464.80, 2485.73, 2576.82, 2706.93, 2742.16, 2530.68, 2270.72, 2029.39, 1891.83, 1104.14, 960.79, 804.99, 774.24, 782.13, 817.19, 805.10, 786.84, 804.02, 795.01, 787.58, 85.46, 3.79, 154.77, 1712.77, 2931.51, 2781.73, 2774.44
 199.75, 367.24, 273.79, 52.34, 1.29, 33.43, 16.72, 16.36, 112.28, 41.55, 171.48, 11.85, 22.89, 54.04, 14.34, 37.71, 7.46, 79.68, 327.81, 331.74, 337.28, 416.25, 416.25, 432.34, 614.21, 623.31, 635.68, 673.50, 682.67, 900.13, 946.74, 1329.42, 1358.49, 1424.45, 1494.54, 1835.40, 1903.34, 1940.82, 1955.44, 2025.78, 2139.06, 2485.62, 2539.14, 2600.20, 2666.09, 2790.54, 2996.78, 3024.89, 2999.11, 2466.93, 2222.96, 2101.41, 1835.96, 1378.18, 912.02, 873.52, 845.53, 60.69, 3.82, 150.18, 2849.31, 2431.50, 2254.88, 2230.80
